seg_idx,circuitid,substation,division,mid_lat,mid_lon
1201,062021105,06202,Sacramento,39.18901222732087,-121.97567303228969
1202,062031101,06203,Sacramento,38.664653576590894,-121.73140060966838
1203,062031102,06203,Sacramento,38.69190975258394,-121.7802588485004
1204,062031103,06203,Sacramento,38.671326949263644,-121.7369768909245
1205,062031104,06203,Sacramento,38.66921540817541,-121.79773034416783
1206,062031105,06203,Sacramento,38.65935699527198,-121.7432547330591
1207,062031106,06203,Sacramento,38.676876038592454,-121.65292412574946
1208,062031107,06203,Sacramento,38.666720715767724,-121.78001835737263
1209,062031108,06203,Sacramento,38.70939247085554,-121.74785060956309
1210,062031109,06203,Sacramento,38.67314787648682,-121.79344210122242
1211,062031110,06203,Sacramento,38.68060277184351,-121.78309629204722
1212,062031111,06203,Sacramento,38.681084906237274,-121.7467874228909
1213,062031112,06203,Sacramento,38.668550157431646,-121.76319731151226
1214,062031113,06203,Sacramento,38.684419144463135,-121.7416676690577
1215,062041101,06204,Sacramento,38.533023210539525,-121.62902802834688
1216,062041102,06204,Sacramento,38.55837252042119,-121.71102327661352
1217,062041103,06204,Sacramento,38.56286428631513,-121.74627519418779
1218,062041104,06204,Sacramento,38.55138707587002,-121.76994084254329
1219,062041105,06204,Sacramento,38.557148957325296,-121.74229266666863
1220,062041106,06204,Sacramento,38.581338291498355,-121.76575546354469
1221,062041107,06204,Sacramento,38.536257986806156,-121.84938549827658
1222,062041108,06204,Sacramento,38.54545189264189,-121.72480589559723
1223,062041109,06204,Sacramento,38.569689980498175,-121.76412293922583
1224,062041110,06204,Sacramento,38.55096506272465,-121.70758934218226
1225,062041111,06204,Sacramento,38.5472742607288,-121.74770755944576
1226,062041111,06204,Sacramento,38.544831175462484,-121.76915841807639
1227,062041112,06204,Sacramento,38.48725819440418,-121.65995752985468
1228,062051101,06205,Sacramento,39.09700747174349,-122.12442408664727
1229,062051102,06205,Sacramento,39.14950561874011,-122.14737245262538
1230,062061102,06206,Sacramento,38.434165595529706,-121.83078009947815
1231,062061103,06206,Sacramento,38.45257436124913,-121.7626927355701
1232,062061104,06206,Sacramento,38.44562153611342,-121.82546850035287
1233,062061105,06206,Sacramento,38.465300591923096,-121.82403516232101
1234,062061106,06206,Sacramento,38.438753955583024,-121.84845881691248
1235,062071101,06207,Sacramento,39.18800613829822,-122.03043322280668
1236,062081101,06208,Sacramento,39.01274635761083,-122.0747530230403
1237,062081102,06208,Sacramento,39.0128570240764,-122.00637179786547
1238,062081104,06208,Sacramento,38.976563057651894,-122.07158689974567
1239,062131101,06213,Sacramento,38.234343042187874,-122.06347136415867
1240,062131102,06213,Sacramento,38.27665056379843,-122.02435848112937
1241,062131103,06213,Sacramento,38.25331448327313,-122.02150823993843
1242,062131104,06213,Sacramento,38.24551331947764,-122.04027548374548
1243,062131105,06213,Sacramento,38.25406010264185,-122.02207984879729
1244,062131106,06213,Sacramento,38.25166061260995,-122.04576753671697
1245,062131107,06213,Sacramento,38.26393347482868,-122.0377445868731
1246,062131108,06213,Sacramento,38.266469762285574,-122.06081983460459
